Brand Name,Gender,Article Type,Style Id,Size,SKU Code,Ship Quantity,Carton No,"Carton Dimension (in
CMs)",Gross Weight (in KGs),"Net Weight (in
KGs)",CBM
HRX by Hrithik Roshan,Men,Sweatshirts,4653836,XL,HBHRSWSH00004431,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,S,RDSTTSHT46359570,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,M,RDSTTSHT46359573,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,L,RDSTTSHT46359572,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,L,RDSTTSHT46359572,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,L,RDSTTSHT46359572,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,XL,RDSTTSHT46359571,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,L,RDSTTSHT46359572,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,XL,RDSTTSHT46359571,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,M,RDSTTSHT46359573,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,M,RDSTTSHT46359573,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,M,RDSTTSHT46359573,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623636,L,RDSTTSHT46359572,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Shirts,13663608,XL,RDSTSHRT46440957,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Shirts,13663608,L,RDSTSHRT46440959,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Shirts,13663608,L,RDSTSHRT46440959,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Shirts,13663608,L,RDSTSHRT46440959,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13621548,S,RDSTTSHT46355167,1,STNC213360760,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13621360,L,RDSTTSHT46354793,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13621360,L,RDSTTSHT46354793,1,STNC213360827,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,M,RDSTTSHT46356659,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,L,RDSTTSHT46356658,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,XL,RDSTTSHT46356657,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,S,RDSTTSHT46356656,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,L,RDSTTSHT46356658,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,M,RDSTTSHT46356659,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,M,RDSTTSHT46356659,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,M,RDSTTSHT46356659,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,L,RDSTTSHT46356658,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,L,RDSTTSHT46356658,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622272,L,RDSTTSHT46356658,1,STNC213376172,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13622082,S,RDSTTSHT46356276,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
HRX by Hrithik Roshan,Men,Tshirts,13692908,L,HBHRTSHT46499935,1,STNC213362861,60X40X40,1.2632,1.1841,0.003475
HRX by Hrithik Roshan,Men,Tshirts,13692908,L,HBHRTSHT46499935,1,STNC213362861,60X40X40,1.2632,1.1841,0.003475
HRX by Hrithik Roshan,Men,Tshirts,13692908,L,HBHRTSHT46499935,1,STNC213362861,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,XL,RDSTTSHT46359395,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,L,RDSTTSHT46359396,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,XL,RDSTTSHT46359395,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,M,RDSTTSHT46359397,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,L,RDSTTSHT46359396,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,S,RDSTTSHT46359394,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,L,RDSTTSHT46359396,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,L,RDSTTSHT46359396,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,L,RDSTTSHT46359396,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,M,RDSTTSHT46359397,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,M,RDSTTSHT46359397,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623548,M,RDSTTSHT46359397,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623594,L,RDSTTSHT46359488,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623594,M,RDSTTSHT46359489,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623594,L,RDSTTSHT46359488,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623594,L,RDSTTSHT46359488,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623220,S,RDSTTSHT46358738,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623594,L,RDSTTSHT46359488,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623220,XL,RDSTTSHT46358739,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623220,M,RDSTTSHT46358741,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623220,L,RDSTTSHT46358740,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623220,L,RDSTTSHT46358740,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623634,XL,RDSTTSHT46359567,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623220,L,RDSTTSHT46358740,1,STNC213359139,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623634,L,RDSTTSHT46359568,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
Roadster,Men,Tshirts,13623634,L,RDSTTSHT46359568,1,STNC213359080,60X40X40,1.2632,1.1841,0.003475
