style_id,gender,brand,style_name,color,description,material_&_care,article_type,fabric,fit,neck,pattern,type,length,country_of_origin,waist_rise,wash_care,sleeve_length,image,price,quantity
11970392,Men,Roadster,Roadster Men Blue Striped Pullover Sweater,Blue,"Blue striped pullover sweater, has a round neck, long sleeves, and ribbed hem",Material: Acrylic<br>  Machine Wash,Sweaters,Acrylic,,Round Neck,Striped,Pullover,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11970392/2020/9/15/437beff0-6f11-4961-b7f9-b59dbed5dcca1600164772711-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11970392/2020/9/15/9e853bee-d8ad-4c4f-b8d9-286c47ea664e1600164772650-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-2.jpg,http://assets.myntassets.com/assets/images/11970392/2020/9/15/437beff0-6f11-4961-b7f9-b59dbed5dcca1600164772711-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11970392/2020/9/15/9e853bee-d8ad-4c4f-b8d9-286c47ea664e1600164772650-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-2.jpg,http://assets.myntassets.com/assets/images/11970392/2020/9/15/437beff0-6f11-4961-b7f9-b59dbed5dcca1600164772711-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-1.jpg,http://assets.myntassets.com/assets/images/11970392/2020/9/15/9e853bee-d8ad-4c4f-b8d9-286c47ea664e1600164772650-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-2.jpg,http://assets.myntassets.com/assets/images/11970392/2020/9/15/66a4c3b3-2feb-4e9e-8c31-c232146119ce1600164772592-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-3.jpg,http://assets.myntassets.com/assets/images/11970392/2020/9/15/ec904c7e-b523-4f2c-a89a-1391f94e80b11600164772469-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-5.jpg,http://assets.myntassets.com/assets/images/11970392/2020/9/15/caf1db0d-7882-4660-b0ab-217f0f8677901600164772534-Roadster-Men-Blue-Colourblocked-Pullover-Sweater-74160016477-4.jpg",951.664,8
11991118,Women,Roadster,Roadster Women Pink Solid Boxy Hooded Sweatshirt,Pink,"Pink boxy solid sweatshirt, has a hood, long drop sleeves, straight hem","Material: 50% cotton, 50% polyester<br>Machine Wash",Sweatshirts,Cotton,,Hood,Solid,Pullover,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11991118/2020/10/8/4c3c6579-ae86-4e23-8c55-47fc57fdba621602139860273-Roadster-Women-Sweatshirts-5191602139858924-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11991118/2020/10/8/44e0a0cd-8d6b-4e81-a055-ce02962ae40c1602139860209-Roadster-Women-Sweatshirts-5191602139858924-2.jpg,http://assets.myntassets.com/assets/images/11991118/2020/10/8/4c3c6579-ae86-4e23-8c55-47fc57fdba621602139860273-Roadster-Women-Sweatshirts-5191602139858924-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11991118/2020/10/8/44e0a0cd-8d6b-4e81-a055-ce02962ae40c1602139860209-Roadster-Women-Sweatshirts-5191602139858924-2.jpg,http://assets.myntassets.com/assets/images/11991118/2020/10/8/4c3c6579-ae86-4e23-8c55-47fc57fdba621602139860273-Roadster-Women-Sweatshirts-5191602139858924-1.jpg,http://assets.myntassets.com/assets/images/11991118/2020/10/8/44e0a0cd-8d6b-4e81-a055-ce02962ae40c1602139860209-Roadster-Women-Sweatshirts-5191602139858924-2.jpg,http://assets.myntassets.com/assets/images/11991118/2020/10/8/db390c42-3481-45f3-9992-ebdb088826201602139860155-Roadster-Women-Sweatshirts-5191602139858924-3.jpg,http://assets.myntassets.com/assets/images/11991118/2020/10/8/7190b5dc-8785-42f5-8dbf-61834c610c311602139860003-Roadster-Women-Sweatshirts-5191602139858924-5.jpg,http://assets.myntassets.com/assets/images/11991118/2020/10/8/f9a19486-e73a-48c9-8f9e-711441bfffde1602139860099-Roadster-Women-Sweatshirts-5191602139858924-4.jpg",707.056,10
13915688,Men,HERE&NOW,HERENOW Men Navy Blue Typography Printed T-shirt,Navy Blue,"<ul> <li> Navy blue Tshirt for men </li> <li> Typography printed </li> <li> Regular length </li> <li> Round neck </li> <li> Long,  regular sleeves </li> <li> Knitted cotton fabric </li> </ul>",100% cotton<br>Machine wash,Tshirts,Cotton,Regular Fit,Round Neck,Printed,,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/13915688/2021/6/30/c0a27eb1-34ab-4541-aa16-55d40a8dade41625031052308-HERENOW-Men-Tshirts-5781625031051853-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/13915688/2021/6/30/0a971b7a-764f-4779-a66c-346a526c20af1625031052300-HERENOW-Men-Tshirts-5781625031051853-2.jpg,http://assets.myntassets.com/assets/images/13915688/2021/6/30/c0a27eb1-34ab-4541-aa16-55d40a8dade41625031052308-HERENOW-Men-Tshirts-5781625031051853-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/13915688/2021/6/30/0a971b7a-764f-4779-a66c-346a526c20af1625031052300-HERENOW-Men-Tshirts-5781625031051853-2.jpg,http://assets.myntassets.com/assets/images/13915688/2021/6/30/c0a27eb1-34ab-4541-aa16-55d40a8dade41625031052308-HERENOW-Men-Tshirts-5781625031051853-1.jpg,http://assets.myntassets.com/assets/images/13915688/2021/6/30/0a971b7a-764f-4779-a66c-346a526c20af1625031052300-HERENOW-Men-Tshirts-5781625031051853-2.jpg,http://assets.myntassets.com/assets/images/13915688/2021/6/30/44c6f7a4-0003-4aeb-9aca-4e147f33d8981625031052292-HERENOW-Men-Tshirts-5781625031051853-3.jpg,http://assets.myntassets.com/assets/images/13915688/2021/6/30/160100fc-d5a9-4e9f-8ede-6bcc2c2766d41625031052273-HERENOW-Men-Tshirts-5781625031051853-5.jpg,http://assets.myntassets.com/assets/images/13915688/2021/6/30/f43a5def-eb10-47f5-a49a-af66fc4943721625031052282-HERENOW-Men-Tshirts-5781625031051853-4.jpg",514.176,12
11545200,Men,Roadster,Roadster Men Navy Blue  Olive Green Colourblocked Henley Neck T-shirt,Navy Blue,"Navy Blue and Olive green colourblocked T-shirt, has a Henley neck, and long sleeves",Material: 100% Cotton<br>Machine Wash,Tshirts,Cotton,Regular Fit,Henley Neck,Colourblocked,,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11545200/2020/10/20/7e1ea8c7-9d4f-4bb0-b37c-96e59b4437f91603193644013TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11545200/2020/10/20/989c76c0-b465-43f8-99f3-cf0310e0e10e1603193644108TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt2.jpg,http://assets.myntassets.com/assets/images/11545200/2020/10/20/7e1ea8c7-9d4f-4bb0-b37c-96e59b4437f91603193644013TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11545200/2020/10/20/989c76c0-b465-43f8-99f3-cf0310e0e10e1603193644108TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt2.jpg,http://assets.myntassets.com/assets/images/11545200/2020/10/20/7e1ea8c7-9d4f-4bb0-b37c-96e59b4437f91603193644013TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt1.jpg,http://assets.myntassets.com/assets/images/11545200/2020/10/20/989c76c0-b465-43f8-99f3-cf0310e0e10e1603193644108TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt2.jpg,http://assets.myntassets.com/assets/images/11545200/2020/10/20/7c0b70df-4e28-494c-a497-d3f5945b40781603193644183TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt3.jpg,http://assets.myntassets.com/assets/images/11545200/2020/10/20/b2f0ae36-1fe7-408a-9ad9-73313666e0f41603193644420TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt5.jpg,http://assets.myntassets.com/assets/images/11545200/2020/10/20/730b492f-4c71-412e-a657-59026e38f4821603193644301TshirtsRoadsterMenTshirtsRoadsterMenTshirtsRoadsterMenTshirt4.jpg",529.5680000000001,11
11973102,Men,Mast & Harbour,Mast  Harbour Men Black Printed Hooded Sweatshirt,Black,"Black printed sweatshirt, has a hood, two pockets, long sleeves, straight hem",Material: 100% Cotton<br>Machine Wash,Sweatshirts,Cotton,,Hood,Printed,Pullover,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11973102/2020/11/11/a66d3ebe-d7c3-4f9a-a644-7536ee2573cd1605072481018-Mast--Harbour-Men-Sweatshirts-601605072480250-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11973102/2020/11/11/0cf57338-22a3-460d-9055-5397d05b81411605072480981-Mast--Harbour-Men-Sweatshirts-601605072480250-2.jpg,http://assets.myntassets.com/assets/images/11973102/2020/11/11/a66d3ebe-d7c3-4f9a-a644-7536ee2573cd1605072481018-Mast--Harbour-Men-Sweatshirts-601605072480250-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11973102/2020/11/11/0cf57338-22a3-460d-9055-5397d05b81411605072480981-Mast--Harbour-Men-Sweatshirts-601605072480250-2.jpg,http://assets.myntassets.com/assets/images/11973102/2020/11/11/a66d3ebe-d7c3-4f9a-a644-7536ee2573cd1605072481018-Mast--Harbour-Men-Sweatshirts-601605072480250-1.jpg,http://assets.myntassets.com/assets/images/11973102/2020/11/11/0cf57338-22a3-460d-9055-5397d05b81411605072480981-Mast--Harbour-Men-Sweatshirts-601605072480250-2.jpg,http://assets.myntassets.com/assets/images/11973102/2020/11/11/90adfe52-57a7-4068-ab5c-b155fef04a211605072480945-Mast--Harbour-Men-Sweatshirts-601605072480250-3.jpg,http://assets.myntassets.com/assets/images/11973102/2020/11/11/8cb6a7e5-ab83-45d1-8b42-0d20b5b1df241605072480869-Mast--Harbour-Men-Sweatshirts-601605072480250-5.jpg,http://assets.myntassets.com/assets/images/11973102/2020/11/11/3f8975ff-2910-472f-bd9f-12010d1f4c321605072480909-Mast--Harbour-Men-Sweatshirts-601605072480250-4.jpg",1138.48,10
11953336,Men,HRX by Hrithik Roshan,HRX by Hrithik Roshan Men Anthra Melange Solid Regular Fit Training Sweatshirt,Charcoal,Features<ul><li>Training sweatshirt for your daily workouts.</li><li>Adjustable hood protects your ears and neck when you step outdoors.</li><li>Heavyweight jacket to keep body heat insulated</li><li>Neck: Hooded</li><li>Sleeve: Full Sleeves</li><li>Design Specifics: Logo print</li><li>Color: Anthra Melange</li></ul>,Material and Care<br>Knit Sweatshirt<br>Fabric:60% Polyester 40% Cotton Semi Brushed Knit Heavy Weight<br>Machine Wash,Sweatshirts,Viscose Rayon,,Hood,Printed,Pullover,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11953336/2020/11/2/e23cd4d6-ef17-459a-98c9-ecab5f650e801604320929763-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11953336/2020/11/2/3c425b18-4500-4c4a-a8d0-12616715303e1604320929719-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-2.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/e23cd4d6-ef17-459a-98c9-ecab5f650e801604320929763-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11953336/2020/11/2/3c425b18-4500-4c4a-a8d0-12616715303e1604320929719-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-2.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/e23cd4d6-ef17-459a-98c9-ecab5f650e801604320929763-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-1.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/3c425b18-4500-4c4a-a8d0-12616715303e1604320929719-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-2.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/e4e5a210-6218-4008-b779-5647851960da1604320929676-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-3.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/8ee7c806-87cc-4b9e-b021-383718eba4161604320929582-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-5.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/45fab19e-f855-437d-b4e6-4c025863da621604320929631-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-4.jpg,http://assets.myntassets.com/assets/images/11953336/2020/11/2/23e84800-43f6-4441-ba2c-6996301856a41604320929532-HRX-by-Hrithik-Roshan-Men-Sweatshirts-9551604320927635-6.jpg",1356.736,10
11959156,Men,Roadster,Roadster Men Brown Solid Hooded Sweatshirt,Brown,"Brown solid sweatshirt with printed detail, has a hood, one pockets, long sleeves, straight hem","Material: 50% cotton, 50% polyester<br>Machine Wash",Sweatshirts,Cotton,,Hood,Solid,Pullover,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11959156/2020/11/5/fb626854-fbe7-4b1f-86b5-409c6e0a31bf1604560932764-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11959156/2020/11/5/ee988fe4-d77f-4616-94f2-2f243db829bf1604560932718-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-2.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/fb626854-fbe7-4b1f-86b5-409c6e0a31bf1604560932764-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11959156/2020/11/5/ee988fe4-d77f-4616-94f2-2f243db829bf1604560932718-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-2.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/fb626854-fbe7-4b1f-86b5-409c6e0a31bf1604560932764-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-1.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/ee988fe4-d77f-4616-94f2-2f243db829bf1604560932718-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-2.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/15f1d418-425f-4d44-8b61-3245b9d2c7971604560932675-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-3.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/d6d6f943-0df3-4ef7-8aa4-2a970a7365131604560932589-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-5.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/dccd8b28-a778-4dfe-b157-a3631d2ffb491604560932631-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-4.jpg,http://assets.myntassets.com/assets/images/11959156/2020/11/5/97b3bf0f-2209-4ae7-9b60-ee613f80af951604560932535-Roadster-Men-Brown-Solid-Hooded-Sweatshirt-7821604560930945-6.jpg",846.1440000000001,10
11955340,Men,Roadster,Roadster Men Brown  Green Colourblocked Pullover,Brown,"Brown, Green and black colourblocked pullover sweater, has a mock collar, long sleeves, half zipper closure, and ribbed hem",Material: 100% acrylic<br>Machine Wash,Sweaters,Acrylic,,Mock Collar,Colourblocked,Pullover,Regular,India,,Machine Wash,Long Sleeves,"https://azmyntra.myntassets.com/dam-assets/assets/images/11955340/2020/12/1/c7e4f232-0f5c-4b57-83dc-bfe64519d07b1606821456082-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11955340/2020/12/1/3fa15f0b-79d0-48de-a6f3-a431f16dd71c1606821456036-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-2.jpg,http://assets.myntassets.com/assets/images/11955340/2020/12/1/c7e4f232-0f5c-4b57-83dc-bfe64519d07b1606821456082-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/11955340/2020/12/1/3fa15f0b-79d0-48de-a6f3-a431f16dd71c1606821456036-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-2.jpg,http://assets.myntassets.com/assets/images/11955340/2020/12/1/c7e4f232-0f5c-4b57-83dc-bfe64519d07b1606821456082-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-1.jpg,http://assets.myntassets.com/assets/images/11955340/2020/12/1/3fa15f0b-79d0-48de-a6f3-a431f16dd71c1606821456036-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-2.jpg,http://assets.myntassets.com/assets/images/11955340/2020/12/1/cb432b35-9ef5-48b8-b80c-1e1187c437b41606821455987-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-3.jpg,http://assets.myntassets.com/assets/images/11955340/2020/12/1/0f2c4db6-0f36-4db0-97c8-c65997553baf1606821455879-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-5.jpg,http://assets.myntassets.com/assets/images/11955340/2020/12/1/1e2ad5df-9f21-4dbb-904c-eb88c3c1319e1606821455937-Roadster-Men-Brown--Green-Colourblocked-Pullover-37616068214-4.jpg",1070.384,10
10323061,Men,Mast & Harbour,Mast  Harbour Men Black  Mustard Colourblocked Polo Collar Sweater,Black,"Black and Mustard colourblocked sweater, has a polo collar, long sleeves, and straight hem",100% Cotton<br>Machine-wash,Sweaters,Cotton,,Round Neck,Colourblocked,Pullover,,India,,Machine Wash,Long Sleeves,"http://myntra.myntassets.com/assets/images/10323061/2019/11/20/6aaf0030-13ad-4607-9d76-4ce4f28c113f1574231497602-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-1.jpg,http://myntra.myntassets.com/assets/images/10323061/2019/11/20/1b264e61-2037-49fa-8c9b-6c745d68dc711574231497524-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-2.jpg,http://assets.myntassets.com/assets/images/10323061/2019/11/20/6aaf0030-13ad-4607-9d76-4ce4f28c113f1574231497602-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-1.jpg,http://myntra.myntassets.com/assets/images/10323061/2019/11/20/1b264e61-2037-49fa-8c9b-6c745d68dc711574231497524-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-2.jpg,http://assets.myntassets.com/assets/images/10323061/2019/11/20/6aaf0030-13ad-4607-9d76-4ce4f28c113f1574231497602-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-1.jpg,http://assets.myntassets.com/assets/images/10323061/2019/11/20/1b264e61-2037-49fa-8c9b-6c745d68dc711574231497524-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-2.jpg,http://assets.myntassets.com/assets/images/10323061/2019/11/20/7e92fced-8e5c-430f-b90b-2a38c909b1371574231497438-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-3.jpg,http://assets.myntassets.com/assets/images/10323061/2019/11/20/259e27d6-28d0-4362-8139-bc1bbc0b8f011574231497293-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-5.jpg,http://assets.myntassets.com/assets/images/10323061/2019/11/20/8e3020cd-1dc5-4b4b-8dd6-d0fe852614861574231497363-Mast--Harbour-Men-Black--Mustard-Colourblocked-Sweater-33715-4.jpg",1151.456,10
14139270,Men,HERE&NOW,HERENOW Men Blue Skinny Fit Light Fade Stretchable Jeans,Blue,"<ul> <li> Dark light fade blue jeans </li> <li> Skinny fit,  mid-rise </li> <li> Clean look </li> <li> Stretchable </li> <li> 5 pocket </li> <li> Length: regular </li> </ul>","79% Cotton, 19% Polyester, 2% Elastane Skinny<br>Machine wash",Jeans,Cotton,Skinny Fit,,,,Regular,India,Mid-Rise,Machine Wash,,"https://azmyntra.myntassets.com/dam-assets/assets/images/14139270/2021/6/25/2d7e0913-7dc7-426f-9bd7-298c2210b2151624618280194-HERENOW-Men-Jeans-1521624618279517-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/14139270/2021/6/25/c4eba53d-cd0d-443a-b8a2-1ebf20ad27871624618280186-HERENOW-Men-Jeans-1521624618279517-2.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/2d7e0913-7dc7-426f-9bd7-298c2210b2151624618280194-HERENOW-Men-Jeans-1521624618279517-1.jpg,https://azmyntra.myntassets.com/dam-assets/assets/images/14139270/2021/6/25/c4eba53d-cd0d-443a-b8a2-1ebf20ad27871624618280186-HERENOW-Men-Jeans-1521624618279517-2.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/2d7e0913-7dc7-426f-9bd7-298c2210b2151624618280194-HERENOW-Men-Jeans-1521624618279517-1.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/c4eba53d-cd0d-443a-b8a2-1ebf20ad27871624618280186-HERENOW-Men-Jeans-1521624618279517-2.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/47aed2a2-4ad1-4e9d-bff8-dd56bf3345f81624618280176-HERENOW-Men-Jeans-1521624618279517-3.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/e6afd497-5175-481c-a52b-acba1733ed971624618280155-HERENOW-Men-Jeans-1521624618279517-5.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/3872af1f-e6fa-42f3-88a2-630d35a82ab61624618280165-HERENOW-Men-Jeans-1521624618279517-4.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/c22a9e42-c50a-4308-bada-0f6aa0142e0c1624618280147-HERENOW-Men-Jeans-1521624618279517-6.jpg,http://assets.myntassets.com/assets/images/14139270/2021/6/25/bbd5faff-dfed-4575-84f3-f8e153ee41861624618280138-HERENOW-Men-Jeans-1521624618279517-7.jpg",1026.464,14
